25 Arp 2025 16:00 Tournament A17. league 700-800								
23:00	3rd	Hradecky Ja	 	770		2 : 3	11-5 8-11 10-12 13-11 9-11	-4.3
22:00	gr	Nohejl V 2005	 	805		1 : 3	3-11 8-11 11-4 10-12	-4.4
21:00	gr	Hradecky Ja	 	770		3 : 1	11-7 11-6 9-11 11-7	+5.5
20:30	gr	Kadavy S	 	760		2 : 3	5-11 12-10 5-11 11-2 10-12	-4.7
4 Feb 2025 08:00 Tournament A17. league 700-800								
		Zuzanek J		778	2 place			+9.6
		Opponent		Rat.	Result			Delta
11:30	Final	Kadavy S	 	760		1 : 3	12-14 9-11 11-8 4-11	-7.1
10:30	gr	Kadavy S	 	760		3 : 2	11-8 11-9 7-11 9-11 11-7	+3.3
9:00	gr	Hlawatschke A	 	781		3 : 2	7-11 11-3 14-12 4-11 11-6	+4.1
8:00	gr	Cmerda O	 	822		3 : 1	11-1 11-6 7-11 12-10	+8.7
30 Jan 2025 08:00 Tournament A14. league 700-800								
		Zuzanek J		763	2 place			+15.8
		Opponent		Rat.	Result			Delta
